Ariel,human biblical figure
Ariel,merfolk in a work of fiction
Ariel of Moab,human biblical figure
Arioch,human biblical figure
Arioch,human biblical figure
Arion,Atlanteans
Ariorgim,human biblical figure
Arisai,human biblical figure
Aristarchus of Thessalonica,human biblical figure
Arjuna,legendary figure
Armaros,fallen angel
Armoni,human biblical figure
Arna,human biblical figure
Arnan,human biblical figure
Arni,human biblical figure
Arnold von Winkelried,legendary hero
Arodi,human biblical figure
Arpachshad,human biblical figure
Arphugitonos,angels in Christianity
Aruṇa,Characters in the Ramayana
Örvar-Oddr,legendary hero
Arvirargus,legendary figure
Þrymr,mythological king
Arza,human biblical figure
Asa,human biblical figure
Asa,human biblical figure
Asa,human biblical figure
Asaf,human biblical figure
Asahel,biblical character
Asahel,human biblical figure
Asahel,human biblical figure
Asahel,human biblical figure
Asaiah,human biblical figure
Asaiah,human biblical figure
Asaiah,human biblical figure
Asaiah,human biblical figure
Asaph,human biblical figure
"Asaph, son of Berachiah",human biblical figure
Asarel,human biblical figure
Asbeel,angel in Judaism
Aschius,legendary figure
Asenath,human biblical figure
Ashab al-Kahf,character from the Quran and the Bible
Asharelah,human biblical figure
Ashbel,human biblical figure
Asher,human biblical figure
Ashhur,human biblical figure
Ashkenaz,human biblical figure
Ashpenaz,human biblical figure
Ashur,human biblical figure
Ashvath,human biblical figure
Asiel,human biblical figure
Asira,God
Askr,protoplast
Askr and Embla,protoplast
Aslaug,legendary figure
Asnah,human biblical figure
Aspatha,human biblical figure
Aspen Matthews,merfolk in a work of fiction
Assir,human biblical figure
Assir,human biblical figure
Assir,human biblical figure
Aswaketu,character in the Mahabharata
Asyncritus of Hyrcania,human biblical figure
Étaín,legendary figure
Ōtakemaru,legendary figure
Atarah,human biblical figure
Ater,human biblical figure
Ater,human biblical figure
Ater,human biblical figure
Athaiah,human biblical figure
Athaliah,human biblical figure
Athaliah,human biblical figure
Athaliah,human biblical figure
Athirne,legendary figure
Athlai,human biblical figure
Atlan Navi,Atlanteans
Atlanna,Atlanteans
Attai,human biblical figure
Attai,human biblical figure
Attai,human biblical figure
Attuma,Homo mermanus
Aun,mythological king
Aunan,human biblical figure
Avair Strabain,legendary figure
Avishag,human biblical figure
Avratka Devoyka,legendary figure
Azaliah,human biblical figure
Azaniah,human biblical figure
Azar,Quranic character
Azarel,human biblical figure
Azarel,human biblical figure
Azarel,human biblical figure
Azarel,human biblical figure
Azariah,human biblical figure
Azariah,human biblical figure
Azariah,human biblical figure
Azariah,human biblical figure
Azariah,human biblical figure
Azariah,human biblical figure
Azariah,human biblical figure
Azariah,human biblical figure
Azariah,human biblical figure
Azariah,human biblical figure
Azariah,human biblical figure
Azariah,human biblical figure
Azariah,human biblical figure
Azariah,human biblical figure
Azariah,human biblical figure
Azariah,human biblical figure
Azariah,human biblical figure
Azariah I,human biblical figure
Azariah II,human biblical figure
Azariah IV,human biblical figure
Azariahu,human biblical figure
Azaz,human biblical figure
Azazel,biblical character
Azazel,fallen angel
Azaziah,human biblical figure
Azaziah,human biblical figure
Azaziah,human biblical figure
Azazil,Quranic character
Azbuk,human biblical figure
Azel,human biblical figure
Azgad,human biblical figure
Azgad,human biblical figure
Aziza,human biblical figure
Azmaveth,human biblical figure
Azmaveth,human biblical figure
Azmaveth,human biblical figure
Azmaveth the Barhumite,human biblical figure
Azor,human biblical figure
Azrial,human biblical figure
Azriel,human biblical figure
Azriel,human biblical figure
Azriel,human biblical figure
Azrikam,human biblical figure
Azrikam,human biblical figure
Azrikam,human biblical figure
Azrikam,human biblical figure
Azubah,human biblical figure
Azubah,human biblical figure
Azzan,human biblical figure
Azzur,human biblical figure
Azzur,human biblical figure
Azzur (book of Jeremiah),human biblical figure
Bákász,legendary figure
Baal,biblical character
Baal,human biblical figure
Baal,human biblical figure
Baal-Hanan,human biblical figure
Baal-hanan,human biblical figure
Baalis,biblical character
Baana,human biblical figure
Baana,human biblical figure
Baana,human biblical figure
Baanah,human biblical figure
Baanah,human biblical figure
Baanah,human biblical figure
Baanah,human biblical figure
Baara,human biblical figure
Baaseiah,human biblical figure
Babhruvāhana,character in the Mahabharata
Bachir,human biblical figure
Baco,legendary figure
Badang,legendary figure
Bagdemagus,legendary figure
Bahlika,character in the Mahabharata
Bahubali,God
Bahwasi,character in the Mahabharata
Baihuang,mythological king
Bakbakkar,human biblical figure
Bakbuk,human biblical figure
Bakbukiah,human biblical figure
Bakol,human biblical figure
Baksei Chamkrong,legendary human figure
Balaam,human biblical figure
Balaam's Ass,biblical animal
Baladan,biblical character
Balak,human biblical figure
Balam Quitzé,protoplast
Baligant,legendary figure
Balthazar,human biblical figure
Balto,legendary figure
Bambang Sumitra,character in the Mahabharata
Banasura,character in the Mahabharata
Bani,human biblical figure
Bani,human biblical figure
Bani,human biblical figure
Bani,human biblical figure
